Timer,ULVAC.Stage1.Temp1,ULVAC.Stage2.Temp1,EN4.Power,EN4.Current,EN4.Volt,PLA5.Match.Load.Posi,PLA5.Match.Tune.Posi,PLA5.Match.Load.Pre,PLA5.Match.Tune.Pre,PLA5.Match.DCBias,SBRF5.Forward,SBRF5.Reflect,SBRF5.SetPower,PWESC.Volt1,PWESC.Volt2,OES.Data6,Line.Gauge.i,Ion.Gauge.i,Baratron.Gauge.i,Ar.MFC.i,Ar2.MFC.i,Ar.MFC.o,Ar2.MFC.o,PWPDS.Data,PWPDS.Data2,PWPDS.Data3,PWPDS.Data4,PWPDS.Data5,PWPDS.Data6,PWPDS.Data7,PWPDS.Data8
[2026.02.20 23:41:48],64.8,9,1000,1.8,561,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.61E-03,3.78E-03,3.2,80,0,80,0,211750848,211765168,211751296,211757168,211763472,211762768,211768864,211758176
[2026.02.20 23:41:49],64.8,9,1000,1.8,561,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.61E-03,3.67E-03,3.2,80,0,80,0,211754752,211771584,211751408,211757168,211761808,211762624,211771328,211758688
[2026.02.20 23:41:50],64.8,9,1000,1.8,562,80.0,80.0,80,80,558,0,0,0,0,0,0.0,5.56E-03,3.75E-03,3.2,80,0,80,0,211753504,211767968,211751840,211760192,211762032,211765120,211771696,211758784
[2026.02.20 23:41:51],64.8,9,1000,1.8,561,80.0,80.0,80,80,558,0,0,0,0,0,0.0,5.58E-03,3.78E-03,3.2,80,0,80,0,211754608,211763456,211749904,211759376,211762080,211763616,211770352,211757856
[2026.02.20 23:41:52],64.8,9,1000,1.8,561,80.0,80.0,80,80,558,0,0,0,0,0,0.0,5.58E-03,3.75E-03,3.2,80,0,80,0,211757072,211763408,211750480,211760192,211763328,211764160,211769456,211758544
[2026.02.20 23:41:53],64.8,9,1000,1.8,562,80.0,80.0,80,80,558,0,0,0,0,0,0.0,5.58E-03,3.75E-03,3.2,80,0,80,0,211754608,211765120,211753792,211759712,211763184,211761424,211769264,211758624
[2026.02.20 23:41:54],64.8,9,1000,1.8,562,80.0,80.0,80,80,558,0,0,0,0,0,0.0,5.58E-03,3.78E-03,3.2,80,0,80,0,211754080,211763232,211751216,211759200,211762832,211762896,211771552,211758912
[2026.02.20 23:41:55],64.8,9,1000,1.8,561,80.0,80.0,80,80,558,0,0,0,0,0,0.0,5.56E-03,3.75E-03,3.2,80,0,80,0,211754256,211764272,211750928,211760432,211761632,211761408,211771712,211757040
[2026.02.20 23:41:56],64.8,9,1000,1.8,562,80.0,80.0,80,80,558,0,0,0,0,0,0.0,5.56E-03,3.78E-03,3.2,80,0,80,0,211754800,211767392,211751024,211755456,211762928,211761664,211774320,211756080
[2026.02.20 23:41:57],64.8,9,1000,1.8,562,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.56E-03,3.75E-03,3.2,80,0,80,0,211755456,211766768,211750816,211757712,211762864,211763120,211770880,211755152
[2026.02.20 23:41:58],64.8,9,1000,1.8,561,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.56E-03,3.72E-03,3.2,80,0,80,0,211752688,211774432,211750800,211756288,211760976,211763008,211769760,211755456
[2026.02.20 23:41:59],64.8,9,1000,1.8,562,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.56E-03,3.78E-03,3.2,80,0,80,0,211755216,211766704,211751408,211757360,211760496,211763552,211770704,211758112
[2026.02.20 23:42:00],64.8,9,1000,1.8,562,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.54E-03,3.78E-03,3.2,80,0,80,0,211754448,211764256,211751104,211757872,211760800,211763104,211771136,211757920
[2026.02.20 23:42:01],64.8,9,1000,1.8,561,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.56E-03,3.81E-03,3.2,80,0,80,0,211753728,211762896,211750864,211757152,211760432,211763952,211770400,211757424
[2026.02.20 23:42:02],64.8,9,1000,1.8,562,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.54E-03,3.75E-03,3.2,80,0,80,0,211755056,211767008,211752096,211755440,211760352,211762304,211771248,211758528
[2026.02.20 23:42:03],64.8,9,1000,1.8,562,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.54E-03,3.78E-03,3.2,80,0,80,0,211759184,211764752,211751808,211760480,211759856,211762048,211770864,211759536
[2026.02.20 23:42:04],64.8,9,1000,1.8,561,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.54E-03,3.72E-03,3.2,80,0,80,0,211752448,211764288,211749824,211757104,211762016,211763744,211769344,211756800
[2026.02.20 23:42:05],64.8,9,1000,1.8,562,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.54E-03,3.72E-03,3.2,80,0,80,0,211753360,211765520,211751152,211757792,211761424,211761840,211770304,211756096
[2026.02.20 23:42:06],64.8,9,1000,1.8,562,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.51E-03,3.78E-03,3.2,80,0,80,0,211755568,211766768,211751632,211758304,211761840,211761408,211771040,211758224
[2026.02.20 23:42:07],64.8,9,1000,1.8,561,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.51E-03,3.75E-03,3.2,80,0,80,0,211754320,211766496,211749792,211756928,211762688,211759744,211770384,211757024
[2026.02.20 23:42:08],64.8,9,1000,1.8,562,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.51E-03,3.75E-03,3.2,80,0,80,0,211752176,211767520,211751520,211756448,211763904,211760400,211770464,211758512
[2026.02.20 23:42:09],64.8,9,1000,1.8,562,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.51E-03,3.75E-03,3.2,80,0,80,0,211751504,211769360,211750736,211757728,211762480,211761360,211771280,211757904
[2026.02.20 23:42:10],64.8,9,1000,1.8,561,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.49E-03,3.78E-03,3.1,80,0,80,0,211752224,211766144,211751776,211757744,211764224,211760128,211771248,211759440
[2026.02.20 23:42:11],64.8,9,1000,1.8,561,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.49E-03,3.75E-03,3.2,80,0,80,0,211755312,211766048,211751136,211756688,211763984,211760624,211770064,211758880
[2026.02.20 23:42:12],64.8,9,1000,1.8,562,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.49E-03,3.75E-03,3.2,80,0,80,0,211752816,211771472,211750880,211755328,211763392,211762336,211773120,211756864
[2026.02.20 23:42:13],64.8,9,1000,1.8,562,80.0,80.0,80,80,558,0,0,0,0,0,0.0,5.49E-03,3.78E-03,3.2,80,0,80,0,211753328,211762352,211750384,211754928,211762160,211762368,211773136,211756432
[2026.02.20 23:42:14],64.8,9,1000,1.8,561,80.0,80.0,80,80,558,0,0,0,0,0,0.0,5.49E-03,3.78E-03,3.2,80,0,80,0,211753664,211763968,211751200,211756208,211762944,211762144,211774736,211757392
[2026.02.20 23:42:15],64.8,9,1000,1.8,562,80.0,80.0,80,80,558,0,0,0,0,0,0.0,5.51E-03,3.75E-03,3.2,80,0,80,0,211755152,211773088,211751856,211756400,211762960,211762448,211775456,211755072
[2026.02.20 23:42:16],64.8,9,1000,1.8,562,80.0,80.0,80,80,558,0,0,0,0,0,0.0,5.49E-03,3.81E-03,3.2,80,0,80,0,211753056,211765248,211752832,211756640,211762608,211761968,211773152,211754832
[2026.02.20 23:42:17],64.8,9,1000,1.8,561,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.49E-03,3.78E-03,3.2,80,0,80,0,211755392,211769760,211751856,211756080,211763248,211762784,211771584,211755520
[2026.02.20 23:42:18],64.8,9,1000,1.8,562,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.49E-03,3.72E-03,3.2,80,0,80,0,211757456,211768736,211753184,211756144,211764192,211763968,211770688,211756576
[2026.02.20 23:42:19],64.8,9,1000,1.8,562,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.46E-03,3.75E-03,3.2,80,0,80,0,211754960,211767040,211751920,211755168,211763440,211763168,211769088,211760112
[2026.02.20 23:42:20],64.8,9,1000,1.8,561,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.46E-03,3.81E-03,3.2,80,0,80,0,211754192,211762976,211751872,211754976,211762192,211763008,211770272,211757728
